lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
5,Modern CNN,5  - Modern CNN.pptx,25,Where Does VGG Spend Memory and Parameters?,"Input memory: 224*224*3=150K
params
: 0
3x3 conv, 64 memory: 224*224*64=3.2M
params
: (3*3*3)*64 = 1,728
3x3 conv, 64 memory: 224*224*64=3.2M
params
: (3*3*64)*64 = 36,864
Pool memory: 112*112*64=800K
params
: 0
3x3 conv, 128 memory: 112*112*128=1.6M
params
: (3*3*64)*128 = 73,728
3x3 conv, 128 memory: 112*112*128=1.6M
params
: (3*3*128)*128 = 147,456
Pool memory: 56*56*128=400K
params
: 0
3x3 conv, 256 memory: 56*56*256=800K
params
: (3*3*128)*256 = 294,912
3x3 conv, 256 memory: 56*56*256=800K
params
: (3*3*256)*256 = 589,824
3x3 conv, 256 memory: 56*56*256=800K
params
: (3*3*256)*256 = 589,824
Pool memory: 28*28*256=200K
params
: 0
3x3 conv, 512 memory: 28*28*512=400K
params
: (3*3*256)*512 = 1,179,648
3x3 conv, 512 memory: 28*28*512=400K
params
: (3*3*512)*512 = 2,359,296
3x3 conv, 512 memory: 28*28*512=400K
params
: (3*3*512)*512 = 2,359,296
Pool memory: 14*14*512=100K
params
: 0
3x3 conv, 512 memory: 14*14*512=100K
params
: (3*3*512)*512 = 2,359,296
3x3 conv, 512 memory: 14*14*512=100K
params
: (3*3*512)*512 = 2,359,296
3x3 conv, 512 memory: 14*14*512=100K
params
: (3*3*512)*512 = 2,359,296
Pool memory: 7*7*512=25K
params
: 0
FC 4096 memory: 4096
params
: 7*7*512*4096 = 102,760,448
FC 4096 memory: 4096
params
: 4096*4096 = 16,777,216
FC 1000 memory: 1000
params
: 4096*1000 = 4,096,000
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
TOTAL memory: 24M * 4 bytes ~= 96MB / image, TOTAL
params
: 138M parameters
Where Does VGG Spend Memory and Parameters?
25
Early layers:
Most memory (large spatial maps)
Most computation
Late FC layers:
Account for ~120M of 138M parameters.
VGG is deep but inefficient
Fully connected layers dominate parameters
Motivation for Global Average Pooling"
5,Modern CNN,5  - Modern CNN.pptx,26,Depth Enables Structured Feature Reuse,"Depth Enables Structured Feature Reuse
What Happens When We Stack 3×3 Convolutions?
Each layer builds on previous features:
Layer 1 → Edges
Layer 2 → Patterns
Layer 3 → Parts
Layer 4 → Objects
Why This Matters:
Reuses lower-level representations
Builds compositional abstractions
More nonlinear transformations
Exponential representational efficiency
Depth is structured reuse, not just stacking layers.
26
A deep network does not relearn edges at every layer; it builds increasingly abstract representations from them."
5,Modern CNN,5  - Modern CNN.pptx,27,Overview,"Overview
Part I: Foundations (LeNet →
AlexNet
)
Part II: Depth Hypothesis (VGG)
Part III: Optimization Crisis
Part IV: Residual Learning (
ResNet
)
Part V: The Efficiency and Scaling Era
27
CNN evolution = solving new constraints at each stage."
5,Modern CNN,5  - Modern CNN.pptx,28,Is Deeper Always Better?,"Is Deeper Always Better?
28
VGG showed:
Increasing depth improves performance.
But:
What happens if we keep stacking layers?"
5,Modern CNN,5  - Modern CNN.pptx,29,Degradation Problem in Deep Networks,"Degradation Problem in Deep Networks
Empirical Observation:
56
-
layer
model
performs worse on both training and test
error
.
29
Both training and test error increase → Not overfitting"
5,Modern CNN,5  - Modern CNN.pptx,30,Why Is This Surprising?,"Why Is This Surprising?
30
But in practice:
It fails.
Root Cause:
optimization
, not representation.
Representation power ↑
Optimization difficulty ↑
Deeper networks suffer from:
Vanishing gradients
Exploding gradients
Degradation problem
Even if a good solution exists, SGD cannot find it.
Shallow Network
Identity
output
input
Identity
Identity"
5,Modern CNN,5  - Modern CNN.pptx,31,Why Gradients Vanish,"Why Gradients Vanish
The loss depends on the final layer.
Consider a deep network:
h
(1)
=
𝑓
1
(
𝑊
(1)
𝑥
)
h
(2)
=
𝑓
2
(
𝑊
(
2
)
h
(1)
)
h
(3)
=
𝑓
3
(
𝑊
(
3
)
h
(
2
)
)
⋯
h
(
𝑛
)
=
𝑓
𝑛
(
𝑊
(
𝑛
)
h
(
𝑛
−1)
)
𝐿
=
𝑙
(
h
(
𝑛
)
)
Apply Chain Rule:
Deep → gradient disappears → Lower layers stop learning.
We update weights via:"
5,Modern CNN,5  - Modern CNN.pptx,32,Gradients Exploding,"Gradients Exploding
Apply Chain Rule:
We update weights via:
Depth increases representational power, but multiplies many gradient terms — making optimization unstable.
The loss depends on the final layer.
Consider a deep network:
h
(
1
)
=
𝑓
1
(
𝑊
(
1
)
𝑥
)
h
(
2
)
=
𝑓
2
(
𝑊
(
2
)
h
(
1
)
)
h
(
3
)
=
𝑓
3
(
𝑊
(
3
)
h
(
2
)
)
⋯
h
(
𝑛
)
=
𝑓
𝑛
(
𝑊
(
𝑛
)
h
(
𝑛
−
1
)
)
𝐿
=
𝑙
(
h
(
𝑛
)
)"
5,Modern CNN,5  - Modern CNN.pptx,33,Optimization vs Representation,"Optimization vs Representation
Representation power increases with depth.
Optimization difficulty also increases.
Even if a better solution exists, SGD cannot reach it.
That’s the key insight.
33"
5,Modern CNN,5  - Modern CNN.pptx,34,Overview,"Overview
Part I: Foundations (LeNet →
AlexNet
)
Part II: Depth Hypothesis (VGG)
Part III: Optimization Crisis
Part IV: Residual Learning (
ResNet
)
Part V: The Efficiency and Scaling Era
34
CNN evolution = solving new constraints at each stage."
5,Modern CNN,5  - Modern CNN.pptx,35,Can We Make Deep Networks Easier to Optimize?,"Can We Make Deep Networks Easier to Optimize?
35
If identity is optimal → F(x) = 0 is easy
Plain Block
Conv
Conv
ReLU
𝑥
𝐻
𝑥
Residual Block
Conv
Conv
ReLU
𝑥
𝐻
𝑥
+
𝐹
𝑥
𝑥
Learning small residual corrections is easier than learning full transformations.
Instead of learning:
Learn:
Thus:
Direct gradient highway"
